_id,keyword_list[0]
7201547317118910466,case & bracelet
7162129234323750913,smart watches
7224851758680653826,apple watch
7182231003745255425,unlock your full potential
7216067199873040386,smart watch
7216740882644549633,25 % off
7179639262421516290,watch straps
7235125050272940033,only today 50% off
7222848209101864961,ultra series eight
7221877406566268930,cp cassobands
7163333668071587841,health & fitness
7158176112023011329,tiktok accessory
7227495941913477122,
7211448104201551874,watch strap charms
7183156405804924930,sales ends today
7192533897040084994,galaxy watch5
7218514512885022721,asmr accessorise
7210140020874035202,get yours now
7192532738955329537,galaxy watch5
7219602899691683841,bluetooth music band
7200730089118613506,s pen
7224850603448205314,smartwatches
7229704187520827394,blackout curtains
7221294571556651010,wearable device
7225784454483116033,strength trainer feature
7185983592122548226,smartwatch
7079387314275713025,wireless headphones
7192533004370788354,galaxy watch5
7172499263024300033,gaming
7161445579301388289,fitness wearable
7218016892710535169,wireless earbuds
7235945445313708034,apple watch
7229258129056251906,smartwatch
7235232092409249793,smart ring video browsing
7237490194672517121,
7229716548171644930,health & fitness
7172500768385073153,gaming
7216728112042770434,galaxy watch5
7223811556381966337,smartwatches
7216513873985044481,heart rate
7179638702464253954,get 30% off
7172499971341451265,gaming
7227116727493328898,smart watches
7201637524921155586,
7211255797753577473,overview strain recovery sleep
7158419427864199169,statsport apex athlete series
7185984195704832001,eqi watch
7197162075398422529,headphones
7210373569871626241,galaxy watch5
7201183944838823937,monthly performance assessment
7237582391715364866,feedbacki
7237687058282004482,free gift 3 straps inside
7230397939373752322,free shipping this week only
7219601667394568194,thin & padded speakers
7211262429552263169,smart watch
7224339998245568513,smartwatch
7122770580083998721,sleep headphones
7233545764982128641,bluetooth headset
7187956656743137282,fairy light spirit tree
7112525806525693953,smart audio glasses
7181891979838832642,bluetooth headband
7226547689758998530,smartwatch
7169294722761326594,click to shop now
7205041050187350017,smartwatch
7085688135417397249,multifunctional ring
7196710034977538049,best selling product
7229729165049151490,
7108725121129185282,phone messages
7201287885500497921,
7232276776726183937,smart watch
7211946848868909058,fitness smartwatch
7209842636794871810,bluetooth headband
7181499962684309505,bluetooth headband
7182349075747471361,bluetooth headband
7230210257707286530,smart watch
7193584915657998338,smartwatch
7143027003570077698,sleep headband
7236641394874351618,titanium band
7202748084341374978,watch
7207298301190995969,smartwatch
7236886940628271106,perfect gift for anyone
7182355491796254721,bluetooth headband
7203590653795385346,sleep headphones
7233909733055512577,get fit
7235895280351379457,watch
7162129274505740289,smart watches
7220611537684627457,art watch
7235247128032018433,limited offer - 50%
7223726456618516481,military watch
7187227181851049986,bluetooth headband
7195992537051136001,auto face dragon tripod
7234648673098235906,smartwatches
7229604937318334466,russia blue lenses
7195869207145709569,colored contact lenses
7229960817043439618,breathable and cooling fabric
7234320207069233153,
7230628188819914753,for pregnant women
7228566939131232258,opticglimmer
7166882924208619522,colored contact lenses
7232646971511603202,lifting belts
7208967955991822337,polarized sunglasses
7220915630224261121,
7223631375218671617,tint-adjustable smart sunglasses
7177524789395996673,new summer
7219085440392298498,know what to do
7184874174170791937,prescription lenses
7229685509980307458,burger sunglasses
7117709904489086977,multi mirror lenses
7232646285865304065,lifting belts
7108814365110124545,blenders
7230248979241893890,polarized lens
7213673387721031681,colored contact lenses
7174155880170520578,glasses
7221838950016532482,pokaini green
7195075766509649921,colored contact lenses
7217300476453978113,beauty face sculpting sleep mask
7207268386820079617,try this
7216200420238458882,tint-adjustable smart sunglasses
7188796277685125122,glasses
7215940745981919234,dusk lite electrochromic smart sunglasses
7213601797012963329,electrochromic lenses
7188552068878123010,colored contact lenses
7226351087120891906,prism glasses
7169984269669892098,sleep mask
7176829978578272258,summer
7166483898734100482,placeholder
7119816743950696450,white marble
7212599818320773122,prescription lens
7209101821474029570,glasses
7181258495797886977,fitteds and clothes
7229091182046609409,
7122761511840481282,electrochromic smart sunglasses
7206193091346006018,hat
7161419626630938626,sunglasses
7229318680071634946,eyewear
7184370457662980097,colored contact lenses
7203111218214699009,
7197611172584652802,shoes
7175449760874971137,white marble
7117818131503104002,photochromic sunglasses
7176161862139625473,
7181212859384102914,migraine relief cap
7194056354260500482,colored contact lenses
7228025091261562882,shop now
7166023001464520705,migraine mask
7229238602252206081,
7225874992645488642,sunglasses
7229253880680349697,free shipping
7160975083006164993,colored contact lenses
7168540171377377281,starts now
7183078455490772993,
7215350811633795073,colored contact lenses
7216117013314764802,sunnies
7216058917071896578,blenders
7216053295751233537,shop now
7206090641640964097,sunglasses
7218294454847193089,find out for yourself
7234977189497176065,
7234987011923378178,hats
7213414138336231425,blenders
7195264369776115713,buy one get one free
7154194747795488770,custom hats
7230078783675564034,polarized sports sunglasses
7164318007652007938,prescription glasses
7147927259429879809,occhiali da lettura
7217997322508976129,mandala scrubs
7079332516331536386,prescription eyeglasses
7158757928068546561,prescription glasses
7206069439154274306,headliner collection
7189528379614904322,prescription glasses
7216054354766659585,blenders
7231938393664946178,contacts
7207466481762779137,twenty three lenses
7165594921864577026,rose gold mirror polarized f
7155571596401033218,entertainment for men
7209047026209587202,baseball hat
7208234416732569601,blenders
7223473086271471618,smart shades
7225820385986592770,nile rodgers vivienne rohner
7148559125117878274,click to learn more
7096114451376963585,glasses
7220175297336295425,chromacraze led glasses
7097030475713560578,prescription eyeglasses
7206068718278279169,headliner collection
7188024373315272706,prescription glasses
7214176492334891010,sunglasses
7194749279805210625,prescription glasses
7227403792755785729,get yours today
7227898944620298241,tan hat
7209556368727179265,hawaii sunset shades
7223544323873734657,hat
7173641506339045378,get yours now 50%
7202109730041888770,snapback hat
7202682616403279873,"funky, biodegradable shades"
7164875636632715266,transitions lenses
7215343971815014402,click to learn more
